text,label
ma túy bán 100k,sensitive
điều khoản hợp đồng phải được tuân thủ nghiêm ngặt,safe
bán hàng online uy tín chất lượng,safe
mua bán vũ khí bất hợp pháp,sensitive
giúp đỡ người nghèo vượt khó,safe
buôn bán chất cấm và hàng lậu,sensitive
tình yêu và sự quan tâm gia đình,safe
giao dịch tiền ảo phi pháp,sensitive
học tập chăm chỉ đạt thành tích cao,safe
đánh bạc trá hình và lừa đảo,sensitive
thể dục thể thao nâng cao sức khỏe,safe
quảng cáo sản phẩm không rõ nguồn gốc,sensitive
du lịch khám phá các vùng đất mới,safe
phát tán tin tức giả mạo gây hoang mang,sensitive
giữ gìn môi trường sạch đẹp,safe
gây rối trật tự công cộng,sensitive
ăn uống lành mạnh và dinh dưỡng,safe
tấn công mạng và đánh cắp thông tin,sensitive
đoàn kết xây dựng cộng đồng văn minh,safe
phát tán video bạo lực,sensitive
cuộc sống để vững bước trên con đường phía trước,safe
ma túy bán 100k,sensitive
đừng bỏ cuộc trước khó khăn và thử thách để thành công,safe
buôn bán chất cấm,sensitive
một ngày tràn đầy sức mạnh và năng lượng để hoàn thành mọi việc,safe
bán hàng giả,sensitive
luôn duy trì tinh thần yêu đời và nhiệt huyết để đạt được mục tiêu,safe
gây rối trật tự công cộng,sensitive
giữ vững lòng quyết tâm và ý chí kiên cường để vượt qua thử thách,safe
đánh bạc trá hình,sensitive
cùng nhau tiến bước và phát triển không ngừng để xây dựng tương lai,safe
tấn công mạng,sensitive
một ngày tràn đầy tiếng cười và niềm vui bên những người thân yêu,safe
phát tán tin giả,sensitive
chia sẻ và lan tỏa sự yêu thương và cảm thông để tạo dựng cộng đồng,safe
bạo lực học đường,sensitive
giữ vững sự kiên nhẫn và lòng nhẫn nại trong cuộc sống và công việc,safe
quảng cáo cờ bạc,sensitive
đặt mục tiêu và cố gắng không ngừng để đạt được thành công và hạnh phúc,safe
giao dịch tiền ảo phi pháp,sensitive
cuộc sống để vững bước trên con đường phía trước,safe
ma túy bán 100k,sensitive
đừng bỏ cuộc trước khó khăn và thử thách để thành công,safe
buôn bán chất cấm,sensitive
một ngày tràn đầy sức mạnh và năng lượng để hoàn thành mọi việc,safe
bán hàng giả,sensitive
luôn duy trì tinh thần yêu đời và nhiệt huyết để đạt được mục tiêu,safe
gây rối trật tự công cộng,sensitive
giữ vững lòng quyết tâm và ý chí kiên cường để vượt qua thử thách,safe
